"Reference","Description","Qty","Comment","LCSC","MPN"
"D1","Light emitting diode, filled shape","1","","","JB2835AWT-W-H40GA0000-N0000001"
"D2","Light emitting diode, filled shape","1","","","JB2835AWT-W-H40GA0000-N0000001"
"D3","Light emitting diode, filled shape","1","","","JB2835AWT-W-H40GA0000-N0000001"
"D4","Light emitting diode, filled shape","1","","","JB2835AWT-W-H40GA0000-N0000001"
"D5","Light emitting diode, filled shape","1","","","JB2835AWT-W-H40GA0000-N0000001"
"D6","Light emitting diode, filled shape","1","","","JB2835AWT-W-H40GA0000-N0000001"
"D7","Light emitting diode, filled shape","1","","","JB2835AWT-W-H40GA0000-N0000001"
"D8","Light emitting diode, filled shape","1","","","JB2835AWT-W-H40GA0000-N0000001"
"D9","Light emitting diode, filled shape","1","","","JB2835AWT-W-H40GA0000-N0000001"
